Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-07-31,52137.4,52750.94,51982.29,52750.94,46428758
2015-08-03,52653.31,52837.12,52579.47,52808.18,32940129
2015-08-04,52761.18,52989.92,52616.18,52941.88,54380600
2015-08-05,52908.14,53694.88,52908.14,53694.88,54933947
2015-08-06,53111.39,53111.39,52296.62,52418.07,122128154
2015-08-07,52429.35,52623.87,52271.23,52425.2,48220806
2015-08-10,52690.17,52931.39,52457.8,52931.39,36151803
2015-08-11,52943.67,53202.42,52802.39,52934.34,49065691
2015-08-12,52777.07,52777.07,52272.17,52554.93,48368531
2015-08-13,52760.22,53045.73,52760.07,52995.96,58516629
2015-08-14,53083.77,53170.17,52513.85,52566.45,56978844
2015-08-17,52597.98,52701.83,52019.34,52072.06,42284963
2015-08-18,52017.8,52138.82,51833.51,51933.37,51912712
2015-08-19,52093.29,52452.86,51980.15,52452.86,74218810
2015-08-20,52335.69,52634.79,52297.16,52508.32,62889028
2015-08-21,51919.52,52239.29,51850.61,51850.61,55791747
2015-08-24,50321.87,50334.4,48048.05,48916.6,97802132
2015-08-25,48587.14,50096.59,48521.23,49372.33,71577137
2015-08-26,49099.15,49535.56,48903.36,49318.58,59709544
2015-08-27,49931.51,50377.03,49905.34,50366.09,56586132
2015-08-28,50646.57,50972.44,50311.25,50972.44,59193665
2015-08-31,50890.28,51280.39,50735.87,51280.38,138394180
2015-09-01,50854.1,50893.38,50200.15,50292.2,54967651
2015-09-02,50343.27,50480.09,50135.97,50135.97,69711424
2015-09-03,50325.91,51003.17,50325.91,50977.06,59477664
2015-09-04,50847.52,50905.56,50506.31,50792.08,59324111
2015-09-07,51035.26,51064.2,50498.77,50498.77,43134619
2015-09-08,50630.25,50878.1,50509.11,50644.7,47397364
2015-09-09,51143.72,51282.28,50806.62,50806.62,73073997
2015-09-10,50769.5,51527.08,50769.5,51527.08,58478364
2015-09-11,51553.03,51681.05,51416.34,51519.45,71191475
2015-09-14,51375.3,51484.62,51161.03,51484.62,54310657
2015-09-15,51410,51523.79,51225.16,51484.93,76820630
2015-09-16,51573.16,51621.11,51218.68,51532.65,60725627
2015-09-17,51500.97,51880.22,51478.98,51801.58,66254455
2015-09-18,51790.8,51806.3,50966.57,51303.79,77190703
2015-09-21,51345.07,51499.93,51210.01,51499.88,40502402
2015-09-22,51533.3,51592.2,50609.81,50713.83,65134439
2015-09-23,50676.81,50777.86,50096.11,50160.5,56657270
2015-09-24,50220.81,50389.24,49471.07,49701.31,61044434
2015-09-25,49985.96,50213.98,49854.6,49935.09,46766932
2015-09-28,49888.37,49995.14,49160.95,49231.74,43034989
2015-09-29,48750.48,49360.45,48612.63,49257.71,69622100
2015-09-30,49530.32,49824.59,49318.49,49824.59,53719903
2015-10-01,50010.87,50073.74,49517.21,49593.95,49549904
2015-10-02,49670.25,49767.46,49117.34,49275.66,36793068
2015-10-05,49568.13,50407.36,49516.62,50312.86,50446125
2015-10-06,50307.94,50762.75,50198.55,50733.51,63011858
2015-10-07,50894.92,51005.27,50636.19,50961.87,54027466
2015-10-08,50779.01,51310.46,50733.97,51222.77,69825765
2015-10-09,51511.33,51749.79,51443.32,51710.74,80092936
